"요일별","시간대별","월별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"일","02시-04시","11월","사고건수[건]","건","168","144","139","154","95","88","79","95","89","77","76",
"일","02시-04시","11월","사망자수[명]","명","3","2","3","4","8","3","4","3","4","3","5",
"일","02시-04시","11월","부상자수[명]","명","307","225","220","234","127","141","117","135","142","102","107",
"일","02시-04시","12월","사고건수[건]","건","204","168","117","141","88","142","128","123","40","34","45",
"일","02시-04시","12월","사망자수[명]","명","7","5","4","1","1","6","0","3","1","3","1",
"일","02시-04시","12월","부상자수[명]","명","352","264","201","231","138","234","211","203","64","49","69",
"일","04시-06시","전체","사고건수[건]","건","1416","1237","1138","1191","1043","1091","1001","966","782","416","541",
"일","04시-06시","전체","사망자수[명]","명","64","53","55","53","36","44","48","29","33","21","21",
"일","04시-06시","전체","부상자수[명]","명","2306","1984","1771","1904","1584","1723","1536","1526","1141","605","765",
"일","04시-06시","1월","사고건수[건]","건","125","81","70","69","103","106","86","64","55","21","17",
"일","04시-06시","1월","사망자수[명]","명","9","4","1","4","2","7","7","5","0","0","2",
"일","04시-06시","1월","부상자수[명]","명","210","138","105","107","150","171","141","87","91","34","27",
"일","04시-06시","2월","사고건수[건]","건","108","72","82","75","60","91","92","72","79","29","15",
"일","04시-06시","2월","사망자수[명]","명","4","0","5","3","2","2","8","1","5","3","2",
"일","04시-06시","2월","부상자수[명]","명","202","109","127","110","90","150","141","119","105","36","14",
"일","04시-06시","3월","사고건수[건]","건","96","109","110","101","78","65","62","85","78","36","19",
"일","04시-06시","3월","사망자수[명]","명","6","5","5","3","4","2","3","2","4","2","0",
"일","04시-06시","3월","부상자수[명]","명","161","169","175","174","119","112","117","137","110","56","26",
"일","04시-06시","4월","사고건수[건]","건","144","102","85","104","84","99","102","64","58","32","29",
"일","04시-06시","4월","사망자수[명]","명","3","2","5","4","2","5","1","3","4","4","4",
"일","04시-06시","4월","부상자수[명]","명","245","189","131","180","124","168","163","88","82","44","28",
"일","04시-06시","5월","사고건수[건]","건","109","122","80","115","91","83","84","76","72","46","68",
"일","04시-06시","5월","사망자수[명]","명","6","7","4","3","2","3","0","2","0","4","2",
"일","04시-06시","5월","부상자수[명]","명","185","190","114","176","140","120","138","131","106","62","97",
"일","04시-06시","6월","사고건수[건]","건","95","127","127","105","100","80","83","87","66","43","47",
"일","04시-06시","6월","사망자수[명]","명","2","6","6","4","5","2","2","4","3","2","0",
"일","04시-06시","6월","부상자수[명]","명","159","194","196","167","148","130","128","152","106","60","72",
"일","04시-06시","7월","사고건수[건]","건","152","114","95","104","118","109","96","75","64","27","68",
"일","04시-06시","7월","사망자수[명]","명","3","5","5","3","9","3","4","4","2","1","3",
"일","04시-06시","7월","부상자수[명]","명","236","186","135","152","182","192","143","121","82","39","91",
"일","04시-06시","8월","사고건수[건]","건","101","94","121","123","84","78","86","87","72","42","52",
"일","04시-06시","8월","사망자수[명]","명","11","6","3","14","3","5","5","2","6","1","1",
"일","04시-06시","8월","부상자수[명]","명","139","150","223","198","118","126","130","127","111","65","81",
"일","04시-06시","9월","사고건수[건]","건","132","121","86","91","82","95","96","90","70","37","49",
"일","04시-06시","9월","사망자수[명]","명","9","5","5","4","3","6","10","1","2","0","1",
"일","04시-06시","9월","부상자수[명]","명","210","210","122","152","132","124","133","137","106","56","65",
"일","04시-06시","10월","사고건수[건]","건","99","91","101","82","92","91","76","86","64","31","83",
"일","04시-06시","10월","사망자수[명]","명","4","3","7","4","2","4","3","0","5","1","2",
"일","04시-06시","10월","부상자수[명]","명","152","133","166","147","134","129","105","128","97","45","132",
"일","04시-06시","11월","사고건수[건]","건","128","94","103","134","79","70","67","77","81","41","51",
"일","04시-06시","11월","사망자수[명]","명","6","2","4","2","1","2","0","2","2","2","3",
"일","04시-06시","11월","부상자수[명]","명","190","155","146","205","120","112","105","138","110","63","72",
"일","04시-06시","12월","사고건수[건]","건","127","110","78","88","72","124","71","103","23","31","43",
"일","04시-06시","12월","사망자수[명]","명","1","8","5","5","1","3","5","3","0","1","1",
"일","04시-06시","12월","부상자수[명]","명","217","161","131","136","127","189","92","161","35","45","60",
"일","06시-08시","전체","사고건수[건]","건","1286","1246","1235","1304","1141","1061","1055","988","808","592","623",
"일","06시-08시","전체","사망자수[명]","명","52","46","51","59","29","32","41","24","27","12","18",
"일","06시-08시","전체","부상자수[명]","명","2144","2025","1937","2085","1836","1631","1603","1460","1142","861","884",
"일","06시-08시","1월","사고건수[건]","건","131","106","94","104","97","103","79","74","64","34","43",
"일","06시-08시","1월","사망자수[명]","명","2","8","7","5","4","4","4","4","2","3","2",
"일","06시-08시","1월","부상자수[명]","명","191","170","152","171","154","173","117","107","88","39","64",
"일","06시-08시","2월","사고건수[건]","건","90","95","70","98","69","74","75","51","61","42","30",
"일","06시-08시","2월","사망자수[명]","명","5","1","4","4","1","3","3","1","1","0","1",
"일","06시-08시","2월","부상자수[명]","명","136","154","131","150","116","108","116","75","79","56","37",
"일","06시-08시","3월","사고건수[건]","건","87","102","124","132","95","73","75","72","60","39","30",
"일","06시-08시","3월","사망자수[명]","명","3","2","0","4","3","1","5","0","0","0","0",
"일","06시-08시","3월","부상자수[명]","명","145","167","199","212","147","112","111","101","82","49","39",
"일","06시-08시","4월","사고건수[건]","건","120","95","87","94","86","81","88","85","49","39","53",
"일","06시-08시","4월","사망자수[명]","명","4","3","4","6","2","2","0","1","3","0","1",
"일","06시-08시","4월","부상자수[명]","명","197","154","149","178","129","133","153","134","75","70","79",
"일","06시-08시","5월","사고건수[건]","건","95","104","97","121","100","93","78","96","91","71","80",
"일","06시-08시","5월","사망자수[명]","명","2","6","3","6","0","3","3","1","5","0","2",
"일","06시-08시","5월","부상자수[명]","명","169","162","156","199","166","141","122","144","149","105","113",
"일","06시-08시","6월","사고건수[건]","건","86","147","110","80","86","105","85","102","85","59","56",
"일","06시-08시","6월","사망자수[명]","명","1","4","2","3","0","3","1","4","1","0","3",
"일","06시-08시","6월","부상자수[명]","명","138","244","188","122","132","152","122","149","117","86","81",
"일","06시-08시","7월","사고건수[건]","건","120","92","96","98","98","88","97","76","69","43","55",
"일","06시-08시","7월","사망자수[명]","명","9","3","5","2","3","1","3","1","2","1","2",
"일","06시-08시","7월","부상자수[명]","명","232","143","140","151","152","134","139","113","92","73","79",
"일","06시-08시","8월","사고건수[건]","건","100","81","127","127","85","70","80","72","90","60","58",
"일","06시-08시","8월","사망자수[명]","명","4","1","6","7","3","1","6","0","3","1","2",
"일","06시-08시","8월","부상자수[명]","명","152","132","194","198","151","119","141","108","128","85","84",
"일","06시-08시","9월","사고건수[건]","건","126","124","110","122","93","78","134","87","66","40","43",
"일","06시-08시","9월","사망자수[명]","명","4","6","3","4","0","1","4","3","4","1","1",
"일","06시-08시","9월","부상자수[명]","명","220","195","161","200","171","108","185","134","87","50","71",
"일","06시-08시","10월","사고건수[건]","건","99","106","103","91","129","103","100","89","71","73","76",
"일","06시-08시","10월","사망자수[명]","명","6","3","7","4","3","5","5","2","2","2","3",
"일","06시-08시","10월","부상자수[명]","명","145","178","147","138","196","166","152","139","106","114","101",
"일","06시-08시","11월","사고건수[건]","건","105","88","130","139","111","80","86","85","63","50","56",
"일","06시-08시","11월","사망자수[명]","명","4","2","6","10","7","5","4","5","2","1","1",
"일","06시-08시","11월","부상자수[명]","명","173","170","199","201","183","111","138","113","86","73","76",
"일","06시-08시","12월","사고건수[건]","건","127","106","87","98","92","113","78","99","39","42","43",
"일","06시-08시","12월","사망자수[명]","명","8","7","4","4","3","3","3","2","2","3","0",
"일","06시-08시","12월","부상자수[명]","명","246","156","121","165","139","174","107","143","53","61","60",
"일","08시-10시","전체","사고건수[건]","건","1550","1531","1527","1598","1506","1549","1411","1536","1210","1087","1132",
"일","08시-10시","전체","사망자수[명]","명","37","33","21","39","34","34","22","26","26","32","26",
"일","08시-10시","전체","부상자수[명]","명","2740","2623","2433","2727","2497","2488","2246","2424","1882","1571","1744",
"일","08시-10시","1월","사고건수[건]","건","131","95","111","99","122","121","84","93","92","74","69",
"일","08시-10시","1월","사망자수[명]","명","3","2","2","3","4","2","2","3","1","0","0",
"일","08시-10시","1월","부상자수[명]","명","240","158","188","190","199","218","162","145","157","103","131",
"일","08시-10시","2월","사고건수[건]","건","89","116","72","93","103","100","97","103","99","69","61",
"일","08시-10시","2월","사망자수[명]","명","2","3","2","1","2","0","5","1","1","3","0",
"일","08시-10시","2월","부상자수[명]","명","151","238","118","151","182","164","140","146","151","106","78",
"일","08시-10시","3월","사고건수[건]","건","95","129","142","149","103","99","101","118","71","68","63",
"일","08시-10시","3월","사망자수[명]","명","1","0","2","2","0","1","2","2","2","1","0",
"일","08시-10시","3월","부상자수[명]","명","172","201","239","271","148","147","162","182","104","104","87",
"일","08시-10시","4월","사고건수[건]","건","148","106","152","124","105","152","136","125","98","98","106",
"일","08시-10시","4월","사망자수[명]","명","3","0","4","2","0","5","3","0","0","1","2",
"일","08시-10시","4월","부상자수[명]","명","262","180","247","222","184","217","211","193","155","125","176",
"일","08시-10시","5월","사고건수[건]","건","104","117","126","197","168","134","106","139","103","115","131",
"일","08시-10시","5월","사망자수[명]","명","2","3","1","7","4","3","2","1","2","4","4",
"일","08시-10시","5월","부상자수[명]","명","163","207","202","332","274","207","175","243","169","165","206",
"일","08시-10시","6월","사고건수[건]","건","120","168","144","119","132","132","118","169","109","95","96",
"일","08시-10시","6월","사망자수[명]","명","1","3","3","2","0","2","1","4","4","4","2",
"일","08시-10시","6월","부상자수[명]","명","216","264","234","188","220","214","170","272","161","123","128",
"일","08시-10시","7월","사고건수[건]","건","138","122","140","129","133","160","140","114","99","78","112",
"일","08시-10시","7월","사망자수[명]","명","5","6","0","2","5","7","3","2","3","4","2",
"일","08시-10시","7월","부상자수[명]","명","216","210","218","214","234","279","241","183","154","108","169",
"일","08시-10시","8월","사고건수[건]","건","124","122","147","134","114","103","124","109","124","106","88",
"일","08시-10시","8월","사망자수[명]","명","6","3","1","2","1","3","1","4","5","3","6",
"일","08시-10시","8월","부상자수[명]","명","217","211","219","231","179","169","188","159","186","163","131",
"일","08시-10시","9월","사고건수[건]","건","185","155","121","145","124","136","151","157","92","93","97",
"일","08시-10시","9월","사망자수[명]","명","3","6","2","2","6","4","1","1","2","2","0",
"일","08시-10시","9월","부상자수[명]","명","346","244","184","250","201","204","245","242","131","129","159",
"일","08시-10시","10월","사고건수[건]","건","118","146","130","143","167","164","143","128","109","128","135",
"일","08시-10시","10월","사망자수[명]","명","7","3","1","6","2","6","2","3","2","6","4",
"일","08시-10시","10월","부상자수[명]","명","201","258","202","251","262","267","230","215","174","187","223",
"일","08시-10시","11월","사고건수[건]","건","133","118","158","147","126","124","105","112","136","81","89",
"일","08시-10시","11월","사망자수[명]","명","4","2","2","3","8","1","0","2","3","0","5",
"일","08시-10시","11월","부상자수[명]","명","236","199","244","240","236","201","167","184","218","122","126",
"일","08시-10시","12월","사고건수[건]","건","165","137","84","119","109","124","106","169","78","82","85",
"일","08시-10시","12월","사망자수[명]","명","0","2","1","7","2","0","0","3","1","4","1",
"일","08시-10시","12월","부상자수[명]","명","320","253","138","187","178","201","155","260","122","136","130",
"일","10시-12시","전체","사고건수[건]","건","2077","1955","2131","2170","2155","2157","1991","2257","1938","2089","2043",
"일","10시-12시","전체","사망자수[명]","명","42","38","42","45","44","33","28","27","24","27","19",
"일","10시-12시","전체","부상자수[명]","명","3658","3496","3687","3813","3834","3664","3349","3861","3154","3345","3335",
"일","10시-12시","1월","사고건수[건]","건","151","140","142","122","163","171","123","129","143","144","159",
"일","10시-12시","1월","사망자수[명]","명","4","4","2","1","0","1","0","3","1","1","0",
"일","10시-12시","1월","부상자수[명]","명","271","265","235","206","275","334","224","236","243","234","246",
"일","10시-12시","2월","사고건수[건]","건","139","140","116","138","159","123","135","153","123","131","122",
"일","10시-12시","2월","사망자수[명]","명","4","1","7","2","4","0","2","0","1","2","2",
"일","10시-12시","2월","부상자수[명]","명","270","256","199","247","300","206","231","269","180","212","204",
"일","10시-12시","3월","사고건수[건]","건","103","153","210","186","141","152","128","197","161","142","110",
"일","10시-12시","3월","사망자수[명]","명","1","2","4","3","1","3","0","2","4","1","1",
"일","10시-12시","3월","부상자수[명]","명","160","259","341","305","234","221","235","308","260","217","140",
"일","10시-12시","4월","사고건수[건]","건","208","140","174","164","167","237","232","167","152","176","155",
"일","10시-12시","4월","사망자수[명]","명","5","1","2","2","4","4","5","2","3","2","3",
"일","10시-12시","4월","부상자수[명]","명","331","239","281","311","276","459","370","291","224","295","254",
"일","10시-12시","5월","사고건수[건]","건","158","167","167","256","236","182","155","222","195","237","243",
"일","10시-12시","5월","사망자수[명]","명","3","2","3","5","7","4","3","2","1","2","1",
"일","10시-12시","5월","부상자수[명]","명","330","309","266","435","430","277","271","350","332","377","418",
"일","10시-12시","6월","사고건수[건]","건","190","201","226","154","168","158","156","222","184","181","159",
"일","10시-12시","6월","사망자수[명]","명","3","8","2","9","2","4","4","3","1","3","2",
"일","10시-12시","6월","부상자수[명]","명","307","322","409","275","326","255","250","408","304","276","266",
"일","10시-12시","7월","사고건수[건]","건","210","152","164","165","237","196","198","164","150","152","201",
"일","10시-12시","7월","사망자수[명]","명","2","3","4","1","7","1","3","1","1","0","3",
"일","10시-12시","7월","부상자수[명]","명","335","281","311","270","439","346","331","272","254","245","344",
"일","10시-12시","8월","사고건수[건]","건","157","174","213","219","176","198","163","181","161","181","172",
"일","10시-12시","8월","사망자수[명]","명","2","0","4","7","2","4","1","2","2","1","0",
"일","10시-12시","8월","부상자수[명]","명","304","326","368","448","335","310","264","281","271","314","273",
"일","10시-12시","9월","사고건수[건]","건","240","211","163","199","173","199","216","216","183","182","172",
"일","10시-12시","9월","사망자수[명]","명","6","6","2","7","4","5","3","4","7","4","0",
"일","10시-12시","9월","부상자수[명]","명","433","346","300","348","311","339","363","355","296","293","274",
"일","10시-12시","10월","사고건수[건]","건","191","162","197","206","219","196","180","207","177","235","216",
"일","10시-12시","10월","사망자수[명]","명","8","3","3","1","4","5","1","4","1","2","4",
"일","10시-12시","10월","부상자수[명]","명","321","251","347","328","382","298","302","402","304","387","367",
"일","10시-12시","11월","사고건수[건]","건","146","171","206","223","182","184","147","187","190","199","171",
"일","10시-12시","11월","사망자수[명]","명","1","4","6","6","5","1","3","3","1","5","2",
"일","10시-12시","11월","부상자수[명]","명","243","379","358","376","315","324","230","330","295","303","292",
"일","10시-12시","12월","사고건수[건]","건","184","144","153","138","134","161","158","212","119","129","163",
"일","10시-12시","12월","사망자수[명]","명","3","4","3","1","4","1","3","1","1","4","1",
"일","10시-12시","12월","부상자수[명]","명","353","263","272","264","211","295","278","359","191","192","257",
"일","12시-14시","전체","사고건수[건]","건","2402","2360","2490","2594","2594","2571","2481","2885","2621","2888","2762",
"일","12시-14시","전체","사망자수[명]","명","39","41","43","41","32","44","43","18","23","29","30",
"일","12시-14시","전체","부상자수[명]","명","4323","4224","4301","4671","4418","4524","4298","4992","4392","4590","4642",
"일","12시-14시","1월","사고건수[건]","건","181","119","150","148","185","196","167","174","193","217","225",
"일","12시-14시","1월","사망자수[명]","명","3","0","2","5","2","5","3","1","0","2","1",
"일","12시-14시","1월","부상자수[명]","명","313","235","255","239","327","317","301","275","305","296","377",
"일","12시-14시","2월","사고건수[건]","건","147","143","144","152","151","153","152","182","189","166","176",
"일","12시-14시","2월","사망자수[명]","명","1","2","2","2","2","1","2","0","1","3","2",
"일","12시-14시","2월","부상자수[명]","명","243","288","255","231","262","280","273","328","326","274","285",
"일","12시-14시","3월","사고건수[건]","건","174","216","227","229","194","180","169","299","171","210","165",
"일","12시-14시","3월","사망자수[명]","명","2","2","8","6","2","2","2","4","5","1","2",
"일","12시-14시","3월","부상자수[명]","명","339","357","374","402","309","301","264","498","285","346","242",
"일","12시-14시","4월","사고건수[건]","건","244","220","219","214","255","268","263","224","172","238","231",
"일","12시-14시","4월","사망자수[명]","명","4","4","1","6","2","3","5","1","1","1","3",
"일","12시-14시","4월","부상자수[명]","명","396","407","364","359","429","452","430","382","284","403","410",
"일","12시-14시","5월","사고건수[건]","건","230","193","216","281","283","212","203","258","253","315","323",
"일","12시-14시","5월","사망자수[명]","명","3","6","3","6","4","3","5","2","1","6","3",
"일","12시-14시","5월","부상자수[명]","명","399","365","381","494","459","349","354","465","439","503","524",
"일","12시-14시","6월","사고건수[건]","건","198","256","246","210","228","206","200","297","225","249","196",
"일","12시-14시","6월","사망자수[명]","명","6","8","3","2","3","6","4","1","2","0","0",
"일","12시-14시","6월","부상자수[명]","명","350","388","443","369","367","372","337","537","362","392","330",
"일","12시-14시","7월","사고건수[건]","건","255","180","218","221","298","239","255","216","221","247","266",
"일","12시-14시","7월","사망자수[명]","명","5","2","6","0","5","5","3","0","4","3","1",
"일","12시-14시","7월","부상자수[명]","명","460","335","379","403","528","461","444","412","392","372","471",
"일","12시-14시","8월","사고건수[건]","건","178","191","262","266","175","183","219","241","250","276","226",
"일","12시-14시","8월","사망자수[명]","명","4","2","3","1","1","1","2","1","1","3","2",
"일","12시-14시","8월","부상자수[명]","명","312","352","473","544","329","324","411","421","441","440","383",
"일","12시-14시","9월","사고건수[건]","건","250","243","207","238","207","237","254","275","252","224","227",
"일","12시-14시","9월","사망자수[명]","명","4","6","4","3","2","7","9","3","3","2","3",
"일","12시-14시","9월","부상자수[명]","명","504","427","369","490","331","453","458","441","434","347","430",
"일","12시-14시","10월","사고건수[건]","건","166","198","222","210","262","253","214","263","226","308","290",
"일","12시-14시","10월","사망자수[명]","명","1","3","3","3","5","6","2","1","2","7","3",
"일","12시-14시","10월","부상자수[명]","명","291","400","374","384","454","433","369","460","339","506","460",
"일","12시-14시","11월","사고건수[건]","건","186","208","244","264","182","204","193","220","289","228","239",
"일","12시-14시","11월","사망자수[명]","명","2","3","4","6","3","3","2","1","2","1","3",
"일","12시-14시","11월","부상자수[명]","명","334","351","390","489","301","358","325","375","505","381","393",
"일","12시-14시","12월","사고건수[건]","건","193","193","135","161","174","240","192","236","180","210","198",
"일","12시-14시","12월","사망자수[명]","명","4","3","4","1","1","2","4","3","1","0","7",
"일","12시-14시","12월","부상자수[명]","명","382","319","244","267","322","424","332","398","280","330","337",
"일","14시-16시","전체","사고건수[건]","건","2940","2759","2945","3083","3011","2937","2861","3184","2858","3107","2941",
"일","14시-16시","전체","사망자수[명]","명","66","36","45","34","52","51","37","41","26","35","27",
"일","14시-16시","전체","부상자수[명]","명","5543","4998","5263","5534","5370","5055","5046","5502","4764","5172","5071",
"일","14시-16시","1월","사고건수[건]","건","212","151","158","196","249","197","144","199","176","218","284",
"일","14시-16시","1월","사망자수[명]","명","9","5","3","1","4","3","3","3","5","1","0",
"일","14시-16시","1월","부상자수[명]","명","392","284","262","371","475","367","238","342","307","363","510",
"일","14시-16시","2월","사고건수[건]","건","183","177","149","194","210","168","186","197","178","209","206",
"일","14시-16시","2월","사망자수[명]","명","4","0","2","1","1","0","1","1","2","0","2",
"일","14시-16시","2월","부상자수[명]","명","353","344","289","329","385","284","337","323","270","331","348",
"일","14시-16시","3월","사고건수[건]","건","216","256","298","300","226","218","210","284","224","242","209",
"일","14시-16시","3월","사망자수[명]","명","2","5","4","2","4","2","2","4","1","1","2",
"일","14시-16시","3월","부상자수[명]","명","409","450","510","552","416","364","356","521","383","404","336",
"일","14시-16시","4월","사고건수[건]","건","313","244","275","273","261","335","295","230","220","282","267",
"일","14시-16시","4월","사망자수[명]","명","10","1","3","4","6","4","2","7","3","5","2",
"일","14시-16시","4월","부상자수[명]","명","596","482","463","509","463","563","562","403","389","480","439",
"일","14시-16시","5월","사고건수[건]","건","231","259","226","323","329","251","209","309","276","326","297",
"일","14시-16시","5월","사망자수[명]","명","6","3","5","3","5","2","5","5","1","8","2",
"일","14시-16시","5월","부상자수[명]","명","445","450","403","564","534","436","382","563","446","524","508",
"일","14시-16시","6월","사고건수[건]","건","223","276","297","226","232","226","226","311","274","279","206",
"일","14시-16시","6월","사망자수[명]","명","8","4","5","4","4","6","0","2","1","3","2",
"일","14시-16시","6월","부상자수[명]","명","431","473","513","393","401","387","397","560","481","479","357",
"일","14시-16시","7월","사고건수[건]","건","289","211","264","253","297","256","286","257","205","247","297",
"일","14시-16시","7월","사망자수[명]","명","6","1","3","6","4","8","8","2","2","4","2",
"일","14시-16시","7월","부상자수[명]","명","514","374","473","436","557","458","537","419","357","415","551",
"일","14시-16시","8월","사고건수[건]","건","228","235","304","313","232","196","233","253","284","278","190",
"일","14시-16시","8월","사망자수[명]","명","2","4","3","2","3","6","2","3","1","3","4",
"일","14시-16시","8월","부상자수[명]","명","481","443","631","587","419","324","423","425","493","497","336",
"일","14시-16시","9월","사고건수[건]","건","316","281","241","288","245","250","330","316","248","248","224",
"일","14시-16시","9월","사망자수[명]","명","3","4","6","4","7","4","5","3","5","3","7",
"일","14시-16시","9월","부상자수[명]","명","572","491","429","528","443","423","535","565","429","412","404",
"일","14시-16시","10월","사고건수[건]","건","258","239","240","251","312","324","252","298","262","310","289",
